PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
3376590	1124	1	DR	2.49	651444	13500068603
3805705	1130	1	DR	0.57	651444	13500068603
3817569	1122	1	DR	3.29	651444	13500068603
1181040	1131	1	DR	2.49	8000583	13500068603
1206342	1154	1	DR	3.79	8003043	13500068604
1208009	1155	1	DR	3.79	8003043	13500068604
1145573	1158	2	DR	4.98	8046669	13500068604
1219774	1154	1	DR	3.79	8046669	13500068604
3328294	1124	1	DR	2.49	651444	13500068604
3328294	1124	1	DR	2.49	651444	13500068604
3350744	1150	2	DR	6.36	651444	13500068605
1144923	1119	4	DR	1.96	8003043	13500068650
1202507	1123	2	DR	1.98	8003043	13500068650
1116699	1149	1	DR	3.79	8003059	13500068650
1116699	1149	1	DR	3.79	8003059	13500068650
1215608	1154	1	DR	3.79	8003059	13500068650
1303776	1138	3	DR	8.25	8003059	13500068650
1145599	1154	1	DR	3.79	8046669	13500068650
1145599	1154	2	DR	4.54	8046669	13500068650
1145599	1154	1	DR	0.76	8046669	13500068650
3128066	1124	1	DR	2.49	651444	13500068650
3309443	1150	1	DR	3.26	651444	13500068650
3311993	1143	1	DR	3.29	651444	13500068650
3315820	1140	1	DR	2.49	651444	13500068650
3327015	1129	1	DR	3.29	651444	13500068650
3329490	1131	1	DR	3.29	651444	13500068650
3356279	1150	2	DR	6.24	651444	13500068650
1123752	1131	1	DR	2.49	650679	13500068650
1223107	1149	1	DR	3.49	650679	13500068650
1215608	1154	1	DR	3.79	8003059	13500068660
1219774	1154	1	DR	3.79	8046669	13500068660
1401877	1132	1	DR	2.49	8003042	13500068660
1113423	1144	1	DR	3.79	8003043	13500068670
1190660	1143	1	DR	3.79	8003043	13500068670
1132308	1158	5	DR	13.25	8046669	13500068670
1145599	1154	2	DR	4.54	8046669	13500068670
1145599	1154	2	DR	4.54	8046669	13500068670
3305318	1115	1	DR	3.29	651444	13500068670
3322578	1150	1	DR	3.29	651444	13500068670
1198168	1143	1	DR	2.49	8003042	13500068670
1319053	1153	1	DR	2.61	8000583	13500068670
1319053	1153	1	DR	2.61	8000583	13500068670
3807081	1159	1	DR	2.99	651444	13500068699
3312645	1116	1	DR	3.99	651444	13500078590
3374371	1117	1	DR	4.99	651444	13500078590
3817205	1139	1	DR	4.99	651444	13500078590
1145599	1127	1	DR	1.25	8046669	15310000131
1145599	1134	1	DR	1.5	8046669	15310000131
1142620	1126	2	DR	4	650679	15310000131
1191098	1163	1	DR	2.99	650679	15310000131
1100503	1120	1	DR	2.99	642166	15310000135
1319871	1125	4	DR	8	8000583	15310000135
1145615	1132	1	DR	2.99	8046669	15310000150
1228619	1116	2	DR	2.98	8046669	15310000150
1228619	1137	2	DR	2.98	8046669	15310000150
1228619	1144	2	DR	2.98	8046669	15310000150
1228619	1164	1	DR	1.79	8046669	15310000150
1228619	1164	1	DR	1.79	8046669	15310000150
3339382	1115	1	DR	3.49	651444	15310000160
1145441	1128	2	DR	2.48	8046669	15310000218
1191874	1147	1	DR	2.99	8003042	15310000218
1218586	1116	2	DR	2.98	8003043	15310000620
1227017	1144	1	DR	1.5	8003043	15310000620
1117606	1116	1	DR	1.5	8003059	15310000620
1307579	1134	1	DR	1.5	8046669	15310000620
1316398	1116	1	DR	1.5	8046669	15310000620
1316398	1116	3	DR	4.47	8046669	15310000620
1316398	1116	1	DR	1.49	8046669	15310000620
1316398	1116	1	DR	1.49	8046669	15310000620
3130781	1126	1	DR	1.99	651444	15310000620
1191874	1147	1	DR	2.24	8003042	15310000620
1309138	1128	1	DR	1.24	8003059	15310000630
1309138	1128	1	DR	1.25	8003059	15310000630
1191874	1147	1	DR	2.24	8003042	15310000630
1228619	1126	1	DR	2.5	8003042	15310000630
1228619	1126	1	DR	2.5	8003042	15310000630
1228619	1147	1	DR	2.24	8003042	15310000630
1405621	1120	1	DR	3.29	8003042	15310000630
1142620	1126	2	DR	5	650679	15310000630
1228619	1134	1	DR	2.28	662928	15310000630
1228619	1134	1	DR	2.28	662928	15310000630
1228619	1134	1	DR	2.28	662928	15310000630
1198390	1115	1	DR	3.59	8003043	15310000640
1227017	1144	1	DR	1.49	8003043	15310000640
1303230	1123	3	DR	5.76	8046669	15310000640
1307579	1134	1	DR	1.49	8046669	15310000640
1204461	1134	1	DR	2.5	8003042	15310000640
1206375	1157	1	DR	2.49	650679	17094200153
1141739	1127	2	DR	2.18	8003043	17094200462
3130401	1147	1	DR	1	651444	17094200462
3132183	1155	1	DR	1.99	651444	17094200462
3306191	1153	1	DR	1.99	651444	17094200462
3348912	1153	1	DR	1.99	651444	17094200462
3352062	1147	4	DR	4	651444	17094200462
3368936	1153	1	DR	1.99	651444	17094200462
3372813	1153	1	DR	1.99	651444	17094200462
3814327	1153	1	DR	1.99	651444	17094200462
1302315	1120	1	DR	1.86	8000583	17094200462
1302315	1120	1	DR	1.86	8000583	17094200462
1183095	1160	4	DR	5.96	8003043	17094200470
1183095	1159	4	DR	5.96	8046669	17094200470
1183095	1160	2	DR	2.98	8046669	17094200470
1183095	1161	2	DR	1.98	8046669	17094200470
1183095	1161	2	DR	2	8046669	17094200470
1184655	1159	2	DR	2.98	8046669	17094200470
3110528	1147	1	DR	1	651444	17094200470
3115857	1155	1	DR	1.99	651444	17094200470
3131474	1153	1	DR	1.99	651444	17094200470
3137083	1156	1	DR	1.99	651444	17094200470
3302299	1153	1	DR	1.99	651444	17094200470
3311993	1154	1	DR	1.99	651444	17094200470
3312645	1147	1	DR	1	651444	17094200470
3312645	1155	1	DR	1.99	651444	17094200470
3321026	1153	1	DR	1.99	651444	17094200470
3327015	1118	1	DR	2.49	651444	17094200470
3327015	1118	1	DR	2.49	651444	17094200470
3327015	1155	1	DR	1.99	651444	17094200470
3327015	1155	1	DR	1.99	651444	17094200470
3339374	1155	1	DR	1.99	651444	17094200470
3346783	1153	2	DR	3.98	651444	17094200470
3350744	1156	1	DR	1.99	651444	17094200470
3369801	1154	1	DR	1.99	651444	17094200470
3805705	1155	1	DR	1.99	651444	17094200470
3831297	1154	1	DR	1.99	651444	17094200470
3834002	1155	1	DR	1.99	651444	17094200470
1141739	1127	1	DR	1.99	8003043	17094200472
3100560	1146	1	DR	1	651444	17094200472
3100560	1153	1	DR	1.99	651444	17094200472
3102400	1153	1	DR	1.99	651444	17094200472
3130401	1147	1	DR	1	651444	17094200472
3139097	1155	1	DR	1.99	651444	17094200472
3311720	1153	1	DR	1.99	651444	17094200472
3347799	1152	1	DR	1.99	651444	17094200472
3348912	1153	1	DR	1.99	651444	17094200472
3356576	1154	1	DR	1.99	651444	17094200472
3801498	1154	1	DR	1.99	651444	17094200472
1145706	1152	1	DR	3.99	8003043	17094212129
3128066	1130	1	DR	4.79	651444	17094212129
3128066	1130	1	DR	4.79	651444	17094212129
3128066	1130	2	DR	9.58	651444	17094212129
3131474	1128	1	DR	4.99	651444	17094212129
3131474	1130	1	DR	4.79	651444	17094212129
3133660	1139	1	DR	3.99	651444	17094212129
3302919	1127	1	DR	4.99	651444	17094212129
3306191	1127	1	DR	4.99	651444	17094212129
3310433	1130	1	DR	4.79	651444	17094212129
3311720	1127	1	DR	4.99	651444	17094212129
3311993	1127	1	DR	4.99	651444	17094212129
3311993	1127	1	DR	4.99	651444	17094212129
3312645	1130	1	DR	4.79	651444	17094212129
3314443	1130	1	DR	4.79	651444	17094212129
3317842	1127	1	DR	4.99	651444	17094212129
3321026	1128	1	DR	4.99	651444	17094212129
3333898	1127	3	DR	14.97	651444	17094212129
3339374	1127	1	DR	4.99	651444	17094212129
3346783	1126	1	DR	4.99	651444	17094212129
3346783	1130	2	DR	9.58	651444	17094212129
3368936	1127	1	DR	4.99	651444	17094212129
3807081	1127	1	DR	4.99	651444	17094212129
3808899	1127	1	DR	4.99	651444	17094212129
3808899	1154	1	DR	4.99	651444	17094212129
3826073	1128	1	DR	4.99	651444	17094212129
3100560	1129	1	DR	4.79	651444	17094212130
3128066	1130	1	DR	4.79	651444	17094212130
3302299	1128	1	DR	4.99	651444	17094212130
3328294	1130	1	DR	4.79	651444	17094212130
3328294	1130	1	DR	4.79	651444	17094212130
3348912	1129	2	DR	9.98	651444	17094212130
3376590	1129	1	DR	4.99	651444	17094212130
3801498	1126	1	DR	4.99	651444	17094212130
3803635	1127	1	DR	4.99	651444	17094212130
3803635	1129	1	DR	4.99	651444	17094212130
3814327	1127	1	DR	4.99	651444	17094212130
1114678	1155	1	DR	1.69	642166	17094240111
1132142	1164	1	DR	1.69	8003042	17094240111
1232561	1120	1	DR	1.49	8000583	17094240111
1232561	1120	1	DR	1.49	8000583	17094240111
1232561	1120	1	DR	1.49	8000583	17094240111
1232561	1120	1	DR	1.49	8000583	17094240111
1316729	1129	1	DR	1.99	8000583	17094240111
1137273	1161	1	DR	2.49	8003043	17094240218
1137331	1164	1	DR	2.49	8046669	17094240218
1108043	1146	2	DR	2.98	8003043	17094240430
