PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1401539	1133	1	GR	2.99	652159	11111364750
1404624	1156	1	GR	2.99	652159	11111364750
1408500	1139	1	GR	2.99	652159	11111364750
1810077	1122	1	GR	2.99	652159	11111364750
1244749	1122	1	GR	3.29	248128	11111364750
1311951	1143	1	GR	3.29	248128	11111364750
3101089	1123	1	GR	2.99	264075	11111364750
3101089	1150	1	GR	2.99	264075	11111364750
3369835	1146	1	GR	2.99	264075	11111364750
3111443	1125	1	GR	2.67	233779	11111364750
3131698	1123	1	GR	2.67	233779	11111364750
3131698	1152	1	GR	2.67	233779	11111364750
3335596	1142	1	GR	2.67	653776	11111364750
3831545	1164	1	GR	2.67	653776	11111364750
3111419	1117	1	GR	1.03	233779	11500076083
3119727	1115	1	GR	1.03	233779	11500076083
3838532	1123	1	GR	1.03	233779	11500076083
3311886	1131	1	GR	1.29	257871	11500076083
3329037	1143	1	GR	1.29	257871	11500076083
3128447	1145	1	GR	0.97	653776	11500076083
3103051	1136	1	GR	2.88	233779	13500005541
3833913	1136	1	GR	2.88	233779	13500005541
3109819	1136	1	GR	2.88	653776	13500005541
3126870	1133	1	GR	2.88	653776	13500005541
3136903	1136	1	GR	2.88	653776	13500005541
1182873	1159	1	GR	2.99	652159	13500006873
1308932	1159	1	GR	2.99	652159	13500006873
1408526	1159	2	GR	5.98	652159	13500006873
1408716	1159	1	GR	2.99	652159	13500006873
3104760	1121	1	GR	2.69	233779	13500006873
3373001	1163	1	GR	2.69	653776	13500006873
1182873	1159	2	GR	6.58	234140	13500006874
3101600	1119	2	GR	5.38	233779	13500006874
3110692	1164	1	GR	2.69	653776	13500006874
3822122	1162	1	GR	2.69	653776	13500006874
3823252	1161	1	GR	2.69	653776	13500006874
3114678	1153	1	GR	2.88	233779	13500008076
3837666	1145	1	GR	2.88	233779	13500008076
3132498	1147	1	GR	2.88	653776	13500008076
3358218	1139	1	GR	2.88	653776	13500008076
3841932	1137	1	GR	2.88	653776	13500008076
3110262	1136	1	GR	2.88	233779	13500008077
3121616	1144	1	GR	2.88	653776	13500008077
3311613	1135	1	GR	2.88	653776	13500008077
3371781	1139	1	GR	2.88	653776	13500008077
1314955	1160	1	GR	3.59	652159	13500008078
1809079	1159	1	GR	3.59	652159	13500008078
3117887	1119	1	GR	2.69	233779	13500008078
3316216	1121	2	GR	5.38	233779	13500008078
3837633	1120	1	GR	2.69	233779	13500008078
3136622	1163	1	GR	2.69	653776	13500008078
3842013	1120	1	GR	2.69	653776	13500008078
1131623	1159	1	GR	3.59	652159	13500008095
3361626	1121	1	GR	2.69	233779	13500008095
3104976	1165	1	GR	2.69	653776	13500008095
3824417	1121	1	GR	2.69	653776	13500008095
3100982	1136	1	GR	2.88	233779	13500008542
3122648	1141	1	GR	2.88	233779	13500008542
3133207	1134	1	GR	2.88	233779	13500008542
3137117	1141	1	GR	2.88	233779	13500008542
3316810	1135	1	GR	2.88	233779	13500008542
3360743	1133	1	GR	2.88	233779	13500008542
3393728	1141	1	GR	2.88	233779	13500008542
3400192	1149	2	GR	4.58	257871	13500008542
3105098	1135	1	GR	2.88	653776	13500008542
3106385	1135	1	GR	2.88	653776	13500008542
3314336	1134	1	GR	2.88	653776	13500008542
3322503	1143	1	GR	2.88	653776	13500008542
3812974	1139	1	GR	2.88	653776	13500008542
3821215	1134	1	GR	2.88	653776	13500008542
3841932	1140	1	GR	2.88	653776	13500008542
1245068	1114	1	GR	2.99	213290	13500009120
3330613	1138	1	GR	0.89	200564	13500055100
3808022	1143	1	GR	0.89	200564	13500055100
3104414	1144	1	GR	0.77	233779	13500055100
3130781	1144	1	GR	0.77	233779	13500055100
3824177	1161	1	GR	0.77	233779	13500055100
3120709	1141	2	GR	1.54	653776	13500055100
3132357	1133	2	GR	1.54	653776	13500055100
3141994	1163	1	GR	0.77	653776	13500055100
3309831	1149	1	GR	0.77	653776	13500055100
3326769	1152	1	GR	0.77	653776	13500055100
3341941	1145	1	GR	0.77	653776	13500055100
3357756	1145	1	GR	0.77	653776	13500055100
3361170	1164	1	GR	0.77	653776	13500055100
3398693	1146	2	GR	1.54	653776	13500055100
3830810	1163	1	GR	0.77	653776	13500055100
1224147	1140	1	GR	1.5	234140	13500055300
1115808	1157	1	GR	1.99	652159	13500055300
1115808	1157	1	GR	1.99	652159	13500055300
1133280	1121	4	GR	6	652159	13500055300
1133280	1156	2	GR	3.98	652159	13500055300
1210229	1120	1	GR	1.5	652159	13500055300
1210229	1120	1	GR	1.5	652159	13500055300
1230516	1148	1	GR	1.5	652159	13500055300
1230516	1148	1	GR	1.5	652159	13500055300
1232223	1155	1	GR	1.99	652159	13500055300
1232223	1155	2	GR	3.98	652159	13500055300
1232223	1155	1	GR	1.99	652159	13500055300
1243782	1115	2	GR	3	652159	13500055300
1243782	1131	1	GR	1.5	652159	13500055300
1243782	1131	1	GR	1.5	652159	13500055300
1307405	1161	3	GR	5.97	652159	13500055300
